sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
001499601,,,REMOTE LEARNING,,0014996,,scheduled,LIB,024901001,024901-3,,,01
001499602,,,REMOTE LEARNING,,0014996,,scheduled,LIB,024901001,024901-3,,,02
001499603,,,REMOTE LEARNING,,0014996,,scheduled,LIB,024901001,024901-3,,,03
001499604,,,REMOTE LEARNING,,0014996,,homeroom,LIB,024901001,024901-3,,,04
001499605,,,REMOTE LEARNING,,0014996,,scheduled,LIB,024901001,024901-3,,,05
001499606,,,REMOTE LEARNING,,0014996,,homeroom,LIB,024901001,024901-3,,,06
001499607,,,REMOTE LEARNING,,0014996,,homeroom,LIB,024901001,024901-3,,,07
001499608,,,REMOTE LEARNING,,0014996,,homeroom,LIB,024901001,024901-3,,,08
001499706,,,Inter/Inclussio,,0014997,,scheduled,,024901001,024901-3,,,06
001500103,,,ENG 1 INTERVENT,,0015001,,scheduled,1206,024901001,024901-3,,,03
001500105,,,ENG 1 INTERVENT,,0015001,,scheduled,1206,024901001,024901-3,,,05
001500107,,,ENG 1 INTERVENT,,0015001,,scheduled,1201,024901001,024901-3,,,07
001500108,,,ENG 1 INTERVENT,,0015001,,scheduled,2201,024901001,024901-3,,,08
001500117,,,ENG 1 INTERVENT,,0015001,,scheduled,2201,024901001,024901-3,,,07
001500202,,,ENG 2 INTERVENT,,0015002,,scheduled,1208,024901001,024901-3,,,02
001500203,,,ENG 2 INTERVENT,,0015002,,scheduled,1206,024901001,024901-3,,,03
001500206,,,ENG 2 INTERVENT,,0015002,,scheduled,1208,024901001,024901-3,,,06
001500207,,,ENG 2 INTERVENT,,0015002,,scheduled,1206,024901001,024901-3,,,07
001500226,,,ENG 2 INTERVENT,,0015002,,scheduled,2201,024901001,024901-3,,,06
001500503,,,TSI PREP ELA,,0015005,,scheduled,1208,024901001,024901-2,,,03
001500504,,,TSI PREP ELA,,0015005,,scheduled,1208,024901001,024901-2,,,04
001500508,,,TSI PREP ELA,,0015005,,scheduled,1208,024901001,024901-2,,,08
001500607,,,TSI PREP MATH,,0015006,,scheduled,,024901001,024901-2,,,07
001500903,,,WLDG 2413,,0015009,,scheduled,AG,024901001,024901-2,,,03
001501101,,,InENG 1,,0015011,,scheduled,1208,024901001,024901-3,,,01
